BASE_URL: https://www.aomoricgu.ac.jp/news/g_tp_20251006?topic=%E5%85%A5%E8%A9%A6%E6%83%85%E5%A0%B1&cpID=368
FORMAT_SCHEMA: Index | FatherIndex | Short_URL | Breadcrumb | Title
394 | 229 | /application/files/9117/4712/4701/20250401_acgu_acjc_libkitei.pdf | None>PDF | 学校法人青森田中学園図書館利用規程（PDF形式：228.18 KB）
395 | 229 | /application/files/7116/8430/5332/g_tp_20230401_library.pdf | None>PDF | ご寄贈にあたっての図書館からのお願い（PDF形式：167.58 KB）
# [CLUSTER_GROUP_END]

# [CLUSTER_GROUP_START: FatherNode 238]
FatherNode -> 238 | -1 | ROOT_OR_EXTERNAL | None | SEED_PAGE
402 | 238 | /nortice/g_tp_20251222 | None | 2025.12.22年末年始の窓口業務について
403 | 238 | /nortice/2025summer | None | 2025.08.068月13日(水)の窓口業務について
404 | 238 | /nortice/school-fees | None | 2025.06.12授業料等の改定について
# [CLUSTER_GROUP_END]

# [CLUSTER_GROUP_START: FatherNode 242]
FatherNode -> 242 | -1 | ROOT_OR_EXTERNAL | None | SEED_PAGE
408 | 242 | /e-book/2024 | None | 学生便覧（2024年度）
409 | 242 | /e-book/2023 | None | 学生便覧（2023年度）
410 | 242 | /e-book/2022 | None | 学生便覧（2022年度）
# [CLUSTER_GROUP_END]

# [CLUSTER_GROUP_START: FatherNode 247]
FatherNode -> 247 | -1 | ROOT_OR_EXTERNAL | None | SEED_PAGE
412 | 247 | /application/files/4417/2532/5181/volunteer2024.pdf | None>PDF | ボランティア募集について（PDF形式：155.57 KB）
413 | 247 | /application/files/4316/8610/6150/volunteersheet_2023_rei.pdf | None>PDF | 学生ボランティア募集依頼書（PDF形式：356.35 KB）
414 | 247 | /application/files/7816/8610/6151/volunteersheet_2023_rei_1.docx | None>PDF | 学生ボランティア募集依頼書（MS Word形式：17.10 KB）
# [CLUSTER_GROUP_END]
